"Number of chemical structures in Fig.","Inhibitor","Testing model","Activity IC50 (μmol/L)","Toxicity CC50 (μmol/L)","Clinical information","Ref."
"Fig. 4 (1)","Salvianolic acid C (Sal-C)","In vitro","3.41","≥100","Preclinical","58"
"Fig. 4 (2)","Arbidol","In vitro","4.11","31.79","ChiCTR2000029573 NCT04252885","60, 64"
"Fig. 4 (3)","DRI-C23041","In vitro (pseudovirus)","5.6","≥135","Preclinical","65"
"Fig. 4 (4)","Cepharanthine","In vitro","1.41","11.22","Preclinical","66"
"","In vitro","0.13","–","Preclinical","78"
"","In vitro","2.8","12.9","Preclinical","94"
"Fig. 4 (5)","Abemaciclib","In vitro","3.16","7.08","Preclinical","66"
"Fig. 4 (6)","Osimertinib","In vitro","3.98","10.00","Preclinical","66"
"Fig. 4 (7)","Trimipramine","In vitro","20.52","≥20","Preclinical","66"
"","In vitro","1.5","–","Preclinical","78"
"Fig. 4 (8)","Colforsin","In vitro","23.06","25.2","Preclinical","66"
"Fig. 4 (9)","Ingenol","In vitro","0.06","≥20","Preclinical","66"
"Fig. 4 (10)","Clofazimine","In vitro","0.31","–","Preclinical","68"
